"","cod","nome","gen","epiteto","N","polygon","polygon90","pixelsum"
"1","Acvert","Actinostemon verticillatus","Actinostemon","verticillatus",105,0.0260533030590356,0.00850735673067265,86
"2","Andola","Annona dolabripetala","Annona","dolabripetala",236,0.0340375248494765,0.0087013283942773,199
"3","Ansylv","Annona sylvatica","Annona","sylvatica",315,0.0540673851403911,0.0184765536082512,276
"4","Apleio","Apuleia leiocarpa","Apuleia","leiocarpa",588,0.11942483155293,0.0656570213304756,469
"5","Asacul","Astrocaryum aculeatissimum","Astrocaryum","aculeatissimum",59,0.0122205281731217,0.0018012624821628,53
"6","Asgrav","Astronium graveolens","Astronium","graveolens",697,0.146419742639279,0.12958295318982,533
"7","Athumi","Attalea humilis","Attalea","humilis",50,0.0119129923189458,0.0010995685016495,43
"8","Bamend","Bathysa mendoncaei","Bathysa","mendoncaei",80,0.0120412782072021,0.0019437839676502,54
"9","Brglaz","Brosimum glaziovii","Brosimum","glaziovii",50,0.0154039799603328,0.00349538861159094,44
"10","Brguia","Brosimum guianense","Brosimum","guianense",1044,0.128446385363703,0.118330906280713,804
"11","Cacanj","Cabralea canjerana","Cabralea","canjerana",792,0.114634940718877,0.0848107892125431,651
"12","Cabras","Calophyllum brasiliense","Calophyllum","brasiliense",1369,0.181255063006087,0.15112491212979,1054
"13","Caluci","Calyptranthes lucida","Calyptranthes","lucida",248,0.102304906408669,0.0714959936445326,198
"14","Casylv","Casearia sylvestris","Casearia","sylvestris",3908,0.788557506484172,0.193076154675898,2991
"15","Cepach","Cecropia pachystachya","Cecropia","pachystachya",684,1.03085312553763,0.0370013065981892,592
"16","Chsp2","Chrysobalanaceae sp2","Chrysobalanaceae","sp2",0,0,0,0
"17","Colang","Copaifera langsdorffii","Copaifera","langsdorffii",905,0.0623648100693638,0.034496673589248,721
"18","Cotric","Cordia trichoclada","Cordia","trichoclada",95,0.0153111484919849,0.00410742367304461,82
"19","Coveno","Couepia venosa","Couepia","venosa",30,0.00648496676137444,0.000358506263518387,27
"20","Crmosc","Cryptocarya moschata","Cryptocarya","moschata",168,0.0239782819696946,0.00422294410135261,93
"21","Crsali","Cryptocarya saligna","Cryptocarya","saligna",70,0.00848088922552671,0.00122884406971011,52
"22","Cufurf","Cupania furfuracea","Cupania","furfuracea",43,0.0191537914079816,0.00468663710468126,36
"23","Curace","Cupania racemosa","Cupania","racemosa",206,0.0388269019993948,0.00838822176502777,163
"24","Cuschi","Cupania schizoneura","Cupania","schizoneura",4,0,0,4
"25","Cysp1","Cybianthus sp1","Cybianthus","sp1",0,0,0,0
"26","Cyanti","Cybistax antisyphilitica","Cybistax","antisyphilitica",306,0.0792669853474637,0.0577646748449313,278
"27","Dusess","Duguetia sessilis","Duguetia","sessilis",10,0.00385807874394007,0.000160761185596306,7
