"","name","key","decimalLatitude","decimalLongitude","issues","tmean1","tmean2","tmean3","tmean4","tmean5","tmean6","tmean7","tmean8","tmean9","tmean10","tmean11","tmean12"
"1","Poecilanthe falcata",1840925017,-12.424806,-45.080472,"cdround,gass84",243,242,242,242,235,228,228,242,259,259,247,241
"2","Poecilanthe falcata",1837458471,-21.381667,-41.068056,"cdround,gass84",254,256,251,235,221,209,203,209,218,229,237,244
"3","Poecilanthe falcata",1844892471,-21.387222,-41.083889,"cdround,gass84",255,257,252,235,220,209,204,209,219,230,237,244
"4","Poecilanthe falcata",1987022478,-21.386667,-41.083333,"cdround,gass84",254,256,251,235,221,209,203,209,218,229,237,244
"5","Poecilanthe falcata",1705511613,-4.099722,-41.713889,"gass84",269,263,257,257,258,256,257,265,274,278,278,274
"6","Poecilanthe falcata",1717051045,-21.386667,-41.083056,"cdround,gass84",254,256,251,235,221,209,203,209,218,229,237,244
"7","Poecilanthe falcata",1413715313,-12.766667,-39.516667,"gass84",243,245,243,236,223,212,205,206,215,228,235,240
"8","Poecilanthe falcata",1423920577,-21.328333,-41.099722,"cdround,gass84",256,258,251,235,220,208,205,210,220,231,239,244
"9","Poecilanthe falcata",1563894702,-8.426389,-37.046944,"cdround,gass84",243,240,235,227,214,204,202,209,225,236,243,235
"10","Poecilanthe falcata",1563895098,-8.449722,-36.984167,"cdround,gass84",229,228,222,215,202,189,185,192,209,221,228,224
"11","Poecilanthe falcata",1837839297,-13.083889,-42.859444,"gass84",243,241,241,240,232,223,223,235,251,259,249,242
"12","Poecilanthe falcata",1252590486,-7.034167,-38.27,"gass84",250,245,241,236,228,221,219,226,238,246,251,251
"13","Poecilanthe falcata",1929550410,-7.0225,-38.251667,"",250,245,241,236,228,221,219,226,238,246,251,251
"14","Poecilanthe falcata",1424513122,-22.441111,-41.851389,"cdround,gass84",254,255,251,237,219,208,203,206,214,224,232,244
"15","Poecilanthe falcata",1424513140,-22.925278,-42.44,"cdround,gass84",257,259,255,238,221,210,206,208,215,224,235,245
"16","Poecilanthe falcata",1844429488,-8.613056,-36.786111,"gass84",228,229,222,216,202,188,183,189,208,220,227,224
"17","Poecilanthe falcata",1094928340,-15.158333,-39.535,"gass84",246,247,243,234,220,211,213,221,228,235,240,237
"18","Poecilanthe falcata",1094929661,-14.949722,-39.627778,"gass84",247,248,244,236,222,213,214,222,229,235,240,239
"19","Poecilanthe falcata",1099614134,-11.273889,-37.79,"gass84",260,263,261,252,237,226,217,218,228,241,254,259
"20","Poecilanthe falcata",1423931044,-12.233056,-41.452222,"cdround,gass84",211,210,210,204,192,180,175,182,198,213,210,207
"21","Poecilanthe falcata",1423897422,-21.467222,-41.650556,"cdround,gass84",262,264,255,237,217,204,200,210,223,234,243,249
"22","Poecilanthe falcata",1424497458,-15.738889,-39.584444,"cdround,gass84",243,246,242,232,218,207,206,212,223,232,237,237
"23","Poecilanthe falcata",1077476922,-19.141333,-40.064417,"gass84",264,264,255,242,228,218,218,223,232,242,252,246
"24","Poecilanthe falcata",1089192571,-7.135556,-34.860278,"gass84",264,259,263,258,249,237,240,234,251,258,261,258
"25","Poecilanthe falcata",1094914660,-8.534167,-37.201111,"gass84",239,237,233,225,210,198,193,200,216,228,236,234
"26","Poecilanthe falcata",1094905636,-17.722778,-39.196667,"gass84",265,264,252,243,232,223,223,231,241,243,256,247
"27","Poecilanthe falcata",1424429431,-8.016667,-34.866667,"cdround,gass84",271,271,269,263,257,249,242,244,252,262,266,267
"28","Poecilanthe falcata",1087651603,-15,-44,"gass84",252,253,252,248,233,221,220,232,255,264,253,249
"29","Poecilanthe falcata",1090904615,-7.987528,-37.265944,"cdround,gass84",238,235,236,227,214,201,195,200,216,229,236,237
"30","Poecilanthe falcata",1094890592,-7.9875,-37.265833,"gass84",238,235,236,227,214,201,195,200,216,229,236,237
"31","Poecilanthe falcata",1090900956,-7.529139,-38.785611,"cdround,gass84",262,256,252,246,236,227,224,231,245,256,262,263
"32","Poecilanthe falcata",1424485887,-8.079444,-36.847778,"cdround,gass84",245,243,243,234,221,206,200,205,221,234,242,244
"33","Poecilanthe falcata",1090511496,-13.297222,-41.245556,"gass84",220,220,219,214,202,190,185,193,208,221,219,217
"34","Poecilanthe falcata",1094836805,-13.297222,-42.245556,"gass84",234,233,234,230,219,209,207,217,234,245,237,232
"35","Poecilanthe falcata",1094835850,-13.586111,-44.32,"gass84",248,247,248,245,235,226,226,240,257,264,254,247
"36","Poecilanthe falcata",1089173361,-7.470556,-36.898222,"gass84",236,234,232,226,215,203,197,201,214,224,231,234
"37","Poecilanthe falcata",1094840106,-10.068611,-38.4725,"gass84",260,260,259,249,234,221,213,216,231,246,256,258
"38","Poecilanthe falcata",1094839117,-13.296111,-42.243611,"gass84",234,233,234,230,219,209,207,217,234,245,237,232
"39","Poecilanthe falcata",1094845345,-12.626667,-42.268333,"gass84",216,215,215,213,203,193,192,203,219,230,221,215
"40","Poecilanthe falcata",1424189430,-16.416667,-39.2,"cdround,gass84",257,259,257,247,237,225,222,226,238,243,251,252
"41","Poecilanthe falcata",1094812243,-13.434722,-44.493889,"gass84",246,245,244,240,230,223,227,244,258,259,251,245
"42","Poecilanthe falcata",1077226329,-13.016667,-42.683333,"gass84",238,236,237,236,227,218,218,230,246,255,244,238
"43","Poecilanthe falcata",1089244243,-6.600278,-40.120833,"gass84",258,250,243,240,238,235,237,245,255,260,263,262
"44","Poecilanthe falcata",1089178211,-7.253056,-37.381111,"gass84",228,227,225,219,208,196,191,195,209,218,225,227
"45","Poecilanthe falcata",1087619582,-15.8,-43.3,"gass84",248,250,249,241,227,211,208,222,241,251,247,245
"46","Poecilanthe falcata",1424245483,-22.943611,-42.0425,"cdround,gass84",252,254,252,238,224,212,207,208,212,221,230,242
"47","Poecilanthe falcata",1089248453,-6.742361,-40.3525,"gass84",246,238,232,229,226,224,225,233,242,249,251,250
"48","Poecilanthe falcata",1089248387,-6.676778,-40.183333,"gass84",255,247,241,238,235,233,234,242,251,258,260,259
"49","Poecilanthe falcata",1930100869,-14.9778,-39.0353,"gass84",255,256,252,243,231,223,231,241,241,244,251,246
"50","Poecilanthe falcata",1090464487,-14.977778,-39.035278,"gass84",255,256,252,243,231,223,231,241,241,244,251,246
"51","Poecilanthe falcata",1424155972,-22.833333,-41.95,"cdround,gass84,muluriiv",251,254,252,237,221,211,206,207,212,220,229,241
"52","Poecilanthe falcata",1094733885,-13.316667,-41.716667,"gass84",220,220,220,215,203,193,188,198,215,227,221,217
"53","Poecilanthe falcata",912668704,-13.32,-41.72,"gass84",220,220,220,215,203,193,188,198,215,227,221,217
"54","Poecilanthe falcata",912668686,-22.83,-41.92,"gass84",251,254,252,237,221,211,206,207,212,220,229,241
