"","name","key","decimalLatitude","decimalLongitude","issues","tmean1","tmean2","tmean3","tmean4","tmean5","tmean6","tmean7","tmean8","tmean9","tmean10","tmean11","tmean12"
"1","Cryptocarya saligna",1848251913,-24.742778,-48.769444,"gass84",253,252,239,211,178,164,163,180,195,217,233,245
"2","Cryptocarya saligna",1837394468,-24.7428,-48.7694,"gass84",253,252,239,211,178,164,163,180,195,217,233,245
"3","Cryptocarya saligna",1213691559,-19.074083,-39.965056,"gass84",264,265,256,243,228,219,219,223,233,242,251,247
"4","Cryptocarya saligna",1087386931,-23.642222,-46.614722,"gass84",210,211,204,184,164,153,147,156,169,179,192,200
"5","Cryptocarya saligna",1089098912,-23.330333,-45.945278,"gass84",217,218,212,193,171,158,152,163,176,187,199,209
"6","Cryptocarya saligna",1089103805,-23.584722,-45.540278,"gass84",206,207,201,183,161,148,141,151,164,174,185,196
"7","Cryptocarya saligna",1090697380,-19.972778,-40.593361,"gass84",230,230,218,201,187,180,184,190,201,209,218,209
"8","Cryptocarya saligna",1089099573,-23.569833,-45.506111,"gass84",208,208,202,184,163,149,142,152,164,175,185,197
"9","Cryptocarya saligna",1096932554,-19.909155,-40.542777,"gass84",226,225,213,196,183,175,180,186,197,205,213,204
"10","Cryptocarya saligna",1086910675,-23.850556,-46.943333,"gass84",207,208,201,182,160,147,141,150,161,173,186,197
"11","Cryptocarya saligna",1094882256,-19.232778,-39.929444,"gass84",266,267,256,243,229,219,219,224,234,244,253,247
"12","Cryptocarya saligna",1899744837,-23.4,-45.183333,"gass84",196,197,191,173,152,138,131,142,156,167,176,186
"13","Cryptocarya saligna",1086908176,-23.358056,-46.485556,"gass84",205,206,198,178,158,145,139,151,163,175,186,194
"14","Cryptocarya saligna",1252620351,-22.638611,-44.661444,"gass84",230,229,224,206,183,169,164,177,193,204,212,220
"15","Cryptocarya saligna",1424407152,-22.638611,-44.661389,"cdround,gass84",230,229,224,206,183,169,164,177,193,204,212,220
"16","Cryptocarya saligna",1096930676,-19.232308,-39.929142,"gass84",266,267,256,243,229,219,219,224,234,244,253,247
