"","name","key","decimalLatitude","decimalLongitude","issues","tmean1","tmean2","tmean3","tmean4","tmean5","tmean6","tmean7","tmean8","tmean9","tmean10","tmean11","tmean12"
"1","Tetrastylidium grandifolium",1835736407,-21.972222,-41.9475,"cdround,gass84",231,230,229,206,186,174,169,179,192,201,210,217
"2","Tetrastylidium grandifolium",1840913029,-22.568056,-43.398611,"cdround,gass84",239,240,230,211,192,182,177,187,196,205,214,224
"3","Tetrastylidium grandifolium",1840912798,-22.396389,-42.739444,"cdround,gass84",234,233,221,200,180,171,170,180,192,204,213,215
"4","Tetrastylidium grandifolium",1587296843,-25.178056,-48.303333,"gass84",261,261,247,221,193,180,178,187,202,220,237,247
"5","Tetrastylidium grandifolium",1585202373,-25.178,-48.3033,"gass84",261,261,247,221,193,180,178,187,202,220,237,247
"6","Tetrastylidium grandifolium",1993826046,-18.785,-40.443056,"gass84",257,258,252,238,224,214,214,219,229,237,244,242
"7","Tetrastylidium grandifolium",1413714273,-15.299167,-39.004167,"gass84",257,259,254,244,232,224,228,237,242,247,254,246
"8","Tetrastylidium grandifolium",1213523864,-26.008611,-48.78,"cdround,gass84",251,249,239,214,192,177,170,175,188,205,222,234
"9","Tetrastylidium grandifolium",1944981757,-15.839722,-39.600556,"gass84",249,252,249,240,226,215,211,217,229,238,243,245
"10","Tetrastylidium grandifolium",1899818548,-15.281944,-39.181667,"gass84",254,255,250,241,228,220,224,233,237,243,249,244
"11","Tetrastylidium grandifolium",2005906684,-26.07829,-49.44963,"gass84",205,203,192,163,136,122,121,134,149,165,180,193
"12","Tetrastylidium grandifolium",2005906678,-24.03041,-47.34875,"gass84",223,223,217,196,173,159,153,163,174,188,201,214
"13","Tetrastylidium grandifolium",2005901485,-24.02022,-47.31605,"gass84",219,219,213,192,169,155,149,158,170,183,197,209
"14","Tetrastylidium grandifolium",1090937406,-12.933333,-39.516667,"gass84",239,241,239,232,219,208,201,203,212,224,231,235
"15","Tetrastylidium grandifolium",1077245898,-12.862778,-39.475556,"gass84",227,228,225,217,204,193,189,191,201,212,219,222
"16","Tetrastylidium grandifolium",1944225366,-24.18,-47.92,"cudc,gass84",240,240,231,208,181,167,161,174,186,202,217,230
"17","Tetrastylidium grandifolium",1087537223,-13.987778,-41.086111,"gass84",253,254,253,245,231,222,216,223,238,250,251,248
"18","Tetrastylidium grandifolium",1234555554,-13.250833,-38.982222,"gass84",261,262,261,253,243,233,227,230,237,246,252,257
"19","Tetrastylidium grandifolium",1090516216,-15.395833,-39.566111,"gass84",230,232,227,217,203,194,195,203,212,219,224,221
"20","Tetrastylidium grandifolium",1089099526,-23.365556,-44.8325,"gass84",252,253,247,227,207,194,188,198,209,220,231,240
"21","Tetrastylidium grandifolium",1077413893,-26.01,-48.69,"gass84",251,250,240,216,194,180,172,177,189,205,222,234
"22","Tetrastylidium grandifolium",1090514919,-16.5,-39.25,"gass84",256,258,255,246,235,223,219,223,236,240,248,250
"23","Tetrastylidium grandifolium",1087183180,-20.154722,-43.514722,"gass84",191,189,180,164,146,138,137,152,167,174,180,177
"24","Tetrastylidium grandifolium",1086911797,-24.412222,-48.562222,"gass84",231,231,219,192,161,148,146,162,177,195,211,223
"25","Tetrastylidium grandifolium",1087648146,-19.396361,-43.402056,"gass84",233,232,223,206,187,175,177,189,206,218,222,219
"26","Tetrastylidium grandifolium",1089089265,-23.366389,-45.084167,"gass84",203,205,198,180,159,145,139,150,163,174,183,194
"27","Tetrastylidium grandifolium",1090576748,-23.373676,-45.082132,"gass84",211,212,207,188,167,153,147,158,171,181,191,202
"28","Tetrastylidium grandifolium",1928268860,-14.7036,-39.6025,"gass84",224,225,222,213,200,191,191,199,206,212,217,216
"29","Tetrastylidium grandifolium",1090501820,-14.703611,-39.6025,"gass84",224,225,222,213,200,191,191,199,206,212,217,216
"30","Tetrastylidium grandifolium",1090580556,-23.4339,-45.0711,"gass84",256,259,252,233,210,197,191,201,210,222,229,244
"31","Tetrastylidium grandifolium",1090575854,-23.373498,-45.080223,"gass84",211,212,207,188,167,153,147,158,171,181,191,202
"32","Tetrastylidium grandifolium",1928746817,-15.1736,-39.3417,"gass84",233,234,229,220,206,198,201,209,216,221,227,223
"33","Tetrastylidium grandifolium",1424300658,-22.530833,-42.347778,"cdround,gass84",258,259,253,236,218,206,203,208,217,227,237,245
"34","Tetrastylidium grandifolium",1234544712,-15.173611,-39.341667,"gass84",233,234,229,220,206,198,201,209,216,221,227,223
"35","Tetrastylidium grandifolium",1424050921,-24.203056,-47.87,"cdround,gass84",254,254,246,222,196,182,176,187,200,215,230,244
