"","name","key","decimalLatitude","decimalLongitude","issues","tmean1","tmean2","tmean3","tmean4","tmean5","tmean6","tmean7","tmean8","tmean9","tmean10","tmean11","tmean12"
"1","Macrotorus utriculatus",1993826271,-18.783056,-40.441111,"gass84",257,258,252,238,224,214,214,219,229,237,244,242
"2","Macrotorus utriculatus",1890651511,-20.001842,-40.613944,"gass84",235,234,222,205,191,183,188,194,204,213,222,213
"3","Macrotorus utriculatus",1638342035,-22.581111,-42.254444,"gass84",257,259,253,237,219,208,204,208,216,227,236,245
"4","Macrotorus utriculatus",1424453869,-13.916111,-39.465833,"cdround,gass84",236,238,235,227,215,206,203,208,216,223,229,230
"5","Macrotorus utriculatus",1569229922,-18.373306,-40.876639,"gass84",244,241,233,219,205,196,199,207,218,224,232,226
"6","Macrotorus utriculatus",1423911167,-22.965556,-43.245555,"cdround,gass84",255,255,248,231,213,203,197,203,210,219,230,241
"7","Macrotorus utriculatus",1096933627,-19.078056,-39.953139,"gass84",264,265,256,243,228,219,219,223,233,243,252,247
"8","Macrotorus utriculatus",1424391627,0.808056,-63.346944,"cdround,gass84",271,272,271,268,265,262,263,265,270,271,273,272
"9","Macrotorus utriculatus",1089103722,-23.623333,-45.527222,"gass84",214,215,210,191,170,157,149,159,171,182,193,204
"10","Macrotorus utriculatus",1123816435,-20.291389,-40.519444,"gass84",273,272,262,246,233,223,224,229,237,247,257,252
"11","Macrotorus utriculatus",1090576532,-23.4339,-45.0711,"gass84",256,259,252,233,210,197,191,201,210,222,229,244
"12","Macrotorus utriculatus",1123819067,-20.267778,-40.525,"gass84",273,272,262,246,233,223,224,229,237,247,257,252
"13","Macrotorus utriculatus",1089103622,-23.325,-45.068333,"gass84",192,192,187,168,147,133,127,138,152,162,171,182
"14","Macrotorus utriculatus",1089103601,-23.325556,-45.067778,"gass84",192,192,187,168,147,133,127,138,152,162,171,182
"15","Macrotorus utriculatus",1135951979,-23.325278,-45.068333,"gass84",192,192,187,168,147,133,127,138,152,162,171,182
"16","Macrotorus utriculatus",1089089350,-23.366389,-45.084167,"gass84",203,205,198,180,159,145,139,150,163,174,183,194
"17","Macrotorus utriculatus",1089090458,-23.303889,-44.787222,"gass84",227,228,223,204,182,168,162,173,185,196,205,217
"18","Macrotorus utriculatus",1424320114,-19.345833,-40.549167,"cdround,gass84",256,257,250,235,221,211,211,217,227,235,243,240
"19","Macrotorus utriculatus",1123812004,-19.345972,-40.549389,"gass84",256,257,250,235,221,211,211,217,227,235,243,240
"20","Macrotorus utriculatus",1424320044,-18.871944,-40.812778,"cdround,gass84",248,246,238,223,209,201,204,211,222,229,236,230
"21","Macrotorus utriculatus",1086917083,-23.336944,-44.835556,"gass84",257,258,250,231,210,198,193,203,214,224,235,243
"22","Macrotorus utriculatus",1123813270,-18.978056,-40.665556,"gass84",259,261,254,240,226,216,217,222,231,239,247,244
"23","Macrotorus utriculatus",1424320091,-18.978611,-40.746944,"cdround,gass84",261,261,255,240,226,217,218,224,233,242,249,245
"24","Macrotorus utriculatus",1424320156,-18.875556,-40.814444,"cdround,gass84",253,253,245,231,216,208,211,217,227,234,241,236
"25","Macrotorus utriculatus",1090577194,-23.367009,-45.083511,"gass84",203,205,198,180,159,145,139,150,163,174,183,194
"26","Macrotorus utriculatus",1424437835,-19.146111,-40.457778,"cdround,gass84",258,261,257,242,230,218,215,220,228,237,245,246
"27","Macrotorus utriculatus",1424290874,-19.348055,-40.550833,"cdround,gass84",256,257,250,235,221,211,211,217,227,235,243,240
"28","Macrotorus utriculatus",1123809409,-19.348333,-40.551111,"gass84",256,257,250,235,221,211,211,217,227,235,243,240
"29","Macrotorus utriculatus",1123808911,-19.823611,-40.510556,"gass84",232,232,220,204,190,182,186,192,202,211,219,212
"30","Macrotorus utriculatus",1123809788,-18.952778,-40.801667,"gass84",252,250,242,227,212,205,208,215,225,233,239,234
"31","Macrotorus utriculatus",1213516307,-19.354278,-40.516,"gass84",253,253,246,231,217,207,208,213,223,232,240,236
"32","Macrotorus utriculatus",1424280937,-18.902778,-40.666944,"cdround,gass84",258,258,251,237,223,214,215,221,231,239,245,242
"33","Macrotorus utriculatus",1123809787,-19.354444,-40.516,"gass84",253,253,246,231,217,207,208,213,223,232,240,236
"34","Macrotorus utriculatus",1123811020,-20.097222,-40.387778,"gass84",273,272,262,246,232,223,224,229,237,247,257,252
"35","Macrotorus utriculatus",1123811427,-18.944167,-40.798611,"gass84",252,250,242,227,212,205,208,215,225,233,239,234
"36","Macrotorus utriculatus",1424219152,-22.288889,-42.873333,"cdround,gass84",220,218,205,183,164,155,154,165,180,191,198,199
"37","Macrotorus utriculatus",1090623960,-17.123889,-40.207778,"gass84",247,247,248,235,222,207,203,208,227,229,233,242
"38","Macrotorus utriculatus",1424504769,-20.316667,-40.333333,"cdround,gass84",276,273,260,245,232,224,227,230,238,247,259,250
"39","Macrotorus utriculatus",1087630912,-19.842639,-40.565139,"gass84,txmatfuz",226,225,213,196,182,175,180,187,197,205,213,205
"40","Macrotorus utriculatus",1123802892,-19.9075,-40.553056,"gass84",231,230,219,202,188,181,185,191,201,210,218,210
"41","Macrotorus utriculatus",1087613958,-23.3405,-44.837056,"gass84,txmatfuz",257,258,250,231,210,198,193,203,214,224,235,243
"42","Macrotorus utriculatus",1123796495,-19.922222,-40.589167,"gass84",231,230,219,201,187,180,184,191,202,210,219,210
"43","Macrotorus utriculatus",1123792528,-19.931111,-40.683611,"gass84",229,228,215,198,184,177,182,189,200,208,217,207
"44","Macrotorus utriculatus",1123792525,-19.933333,-40.59,"gass84",231,230,219,201,187,180,184,191,202,210,219,210
"45","Macrotorus utriculatus",1424247777,-22.583333,-42.25,"cdround,gass84",258,260,254,238,221,210,205,209,217,228,237,246
"46","Macrotorus utriculatus",1929611032,-22.5833,-42.25,"gass84",258,260,254,238,221,210,205,209,217,228,237,246
"47","Macrotorus utriculatus",1089103394,-23.366667,-44.8,"gass84",252,253,247,227,207,194,188,198,209,220,231,240
"48","Macrotorus utriculatus",1424222398,-22.5,-42.25,"gass84",258,259,254,238,220,208,205,209,217,227,237,246
"49","Macrotorus utriculatus",1089109682,-23.3025,-44.816944,"gass84",227,229,223,204,183,169,163,173,186,197,206,217
"50","Macrotorus utriculatus",1930815715,-22.6546564621181,-42.3918119950037,"cdrep",258,260,254,237,220,208,204,209,216,227,237,246
"51","Macrotorus utriculatus",1123782744,-19.931111,-40.7,"gass84",229,228,215,198,184,177,182,189,200,208,217,207
"52","Macrotorus utriculatus",1424442747,-22.493333,-42.905278,"cdround,gass84",242,243,233,213,192,181,177,186,198,209,218,227
"53","Macrotorus utriculatus",1228318730,-10.8339,-52.8731,"gass84",253,256,257,258,251,239,243,253,260,262,259,258
