"","name","key","decimalLatitude","decimalLongitude","issues","tmean1","tmean2","tmean3","tmean4","tmean5","tmean6","tmean7","tmean8","tmean9","tmean10","tmean11","tmean12"
"1","Attalea humilis",1944983274,-12.618333,-38.955833,"gass84",252,251,250,243,230,218,211,212,222,235,243,247
"2","Attalea humilis",1090631248,-18.379722,-40.138528,"gass84",262,263,256,243,230,220,218,223,234,241,249,247
"3","Attalea humilis",1090631229,-19.175556,-40.021361,"gass84",265,265,255,242,227,218,218,223,232,243,252,246
"4","Attalea humilis",1094905435,-15.339722,-39.003333,"gass84",257,257,253,243,231,223,226,235,240,246,253,245
"5","Attalea humilis",1123822676,-18.786944,-40.445556,"gass84",257,258,252,238,224,214,214,219,229,237,244,242
"6","Attalea humilis",1096930621,-19.082988,-39.88504,"gass84",265,265,256,242,229,219,219,224,233,243,251,247
"7","Attalea humilis",1123817766,-18.7375,-39.755833,"gass84",264,265,256,244,228,220,219,223,233,243,250,247
"8","Attalea humilis",1123820424,-20.278889,-40.478333,"gass84",263,261,249,233,219,211,214,219,228,238,248,240
"9","Attalea humilis",1096933363,-19.160361,-40.056944,"gass84",264,264,255,242,228,218,218,223,232,242,252,246
"10","Attalea humilis",1123813329,-20.059167,-40.470556,"gass84",264,264,253,237,223,214,216,221,230,240,250,244
"11","Attalea humilis",1123815372,-19.348333,-40.551111,"gass84",256,257,250,235,221,211,211,217,227,235,243,240
"12","Attalea humilis",1123810635,-18.892222,-40.73,"gass84",260,260,253,239,224,216,217,223,232,240,248,244
"13","Attalea humilis",1123809454,-18.907028,-40.734722,"gass84",260,260,253,239,224,216,217,223,232,240,248,244
"14","Attalea humilis",1123806370,-23.434167,-45.070833,"gass84",256,259,252,233,210,197,191,201,210,222,229,244
"15","Attalea humilis",1123789642,-19.1375,-40.063611,"gass84",264,264,255,242,228,218,218,223,232,242,252,246
"16","Attalea humilis",1123789189,-21.640556,-41.050833,"gass84",253,257,253,234,222,210,203,208,216,227,235,244
"17","Attalea humilis",1123789180,-19.802222,-40.855556,"gass84",267,269,260,243,228,217,219,227,236,248,255,251
"19","Attalea humilis",1928352496,-19.138199,-39.961174,"",265,265,256,242,228,218,218,223,232,243,252,246
"20","Attalea humilis",1090443597,-12.45,-38.633333,"gass84",259,260,256,248,234,223,217,222,233,244,253,253
