"","name","key","decimalLatitude","decimalLongitude","issues","tmean1","tmean2","tmean3","tmean4","tmean5","tmean6","tmean7","tmean8","tmean9","tmean10","tmean11","tmean12"
"1","Ecclinusa ramiflora",1835735649,-22.356944,-43.734722,"cdround,gass84",231,231,220,202,181,171,169,182,194,202,213,215
"2","Ecclinusa ramiflora",1835735636,-22.356944,-43.735,"cdround,gass84",231,231,220,202,181,171,169,182,194,202,213,215
"3","Ecclinusa ramiflora",2005998275,-15.55,-39.4,"gass84",253,255,251,242,229,219,219,226,234,243,249,245
"4","Ecclinusa ramiflora",1932891848,1.12,-72.81,"gass84",261,260,261,253,253,241,237,239,246,250,257,251
"5","Ecclinusa ramiflora",1844893137,-1.879167,-61.718056,"cdround,gass84",269,269,268,267,266,265,271,273,276,276,273,272
"6","Ecclinusa ramiflora",1837394476,-25.1683,-48.3005,"gass84",261,261,247,221,193,180,178,187,202,220,237,247
"7","Ecclinusa ramiflora",1844430341,-25.168333,-48.300556,"gass84",261,261,247,221,193,180,178,187,202,220,237,247
"8","Ecclinusa ramiflora",1844893221,-9.168889,-68.951111,"cdround,gass84",253,252,251,249,241,234,232,242,251,254,255,254
"10","Ecclinusa ramiflora",1090877820,-22.293056,-41.788056,"gass84",255,257,252,237,219,208,201,206,214,225,233,245
"11","Ecclinusa ramiflora",1819182845,-22.293055,-41.788055,"cdround,gass84",255,257,252,237,219,208,201,206,214,225,233,245
"12","Ecclinusa ramiflora",1265936428,-13.483333,-39.033333,"gass84",259,261,259,252,242,232,226,230,238,244,251,255
"13","Ecclinusa ramiflora",1944983578,-13.113333,-38.895556,"gass84",262,264,261,255,244,235,227,230,238,247,254,257
"14","Ecclinusa ramiflora",1944983868,-11.813611,-37.610556,"gass84",265,268,266,260,246,235,227,229,237,249,257,262
"15","Ecclinusa ramiflora",1324589804,-11.0429,-37.1944,"gass84",265,267,266,260,250,242,237,239,247,255,260,260
"16","Ecclinusa ramiflora",1944983579,-12.263056,-38.041667,"gass84",257,258,255,252,234,224,218,221,231,242,250,252
"17","Ecclinusa ramiflora",1944983483,-12.530278,-38.299167,"gass84",261,262,258,252,237,227,223,229,238,249,257,253
"18","Ecclinusa ramiflora",1455393909,-25.172222,-48.301389,"gass84",261,261,247,221,193,180,178,187,202,220,237,247
"19","Ecclinusa ramiflora",1585202318,-25.1722,-48.3013,"gass84",261,261,247,221,193,180,178,187,202,220,237,247
"20","Ecclinusa ramiflora",1087695454,-11.014722,-37.206389,"gass84",265,267,266,260,250,241,236,238,245,253,258,260
"21","Ecclinusa ramiflora",1944981722,-17.459722,-39.240278,"gass84",265,264,256,246,234,225,224,230,242,245,256,250
"22","Ecclinusa ramiflora",1944981711,-17.100278,-40.320278,"gass84",251,251,251,238,225,210,206,211,231,233,237,246
"23","Ecclinusa ramiflora",1213525715,-16.559333,-57.539861,"gass84",284,273,273,258,233,230,238,255,268,281,281,268
"24","Ecclinusa ramiflora",1944981484,-14.399444,-39.060278,"gass84",254,256,254,247,236,227,225,236,240,241,246,248
"25","Ecclinusa ramiflora",1944981915,-14.760278,-39.420556,"gass84",247,249,245,237,224,215,217,227,231,235,240,240
"26","Ecclinusa ramiflora",1944981908,-15.840278,-39.599722,"gass84",249,252,249,240,226,215,211,217,229,238,243,245
