"","name","key","decimalLatitude","decimalLongitude","issues","tmean1","tmean2","tmean3","tmean4","tmean5","tmean6","tmean7","tmean8","tmean9","tmean10","tmean11","tmean12"
"1","Couepia venosa",1840913008,-22.3375,-44.537778,"cdround,gass84",213,212,206,189,165,151,146,161,178,188,196,204
"2","Couepia venosa",1089103826,-23.604444,-45.538889,"gass84",214,215,210,191,170,157,149,159,171,182,193,204
"3","Couepia venosa",1089099568,-23.62,-45.504444,"gass84",214,215,210,191,170,157,149,159,171,182,193,204
"4","Couepia venosa",1090699113,-23.335556,-44.834444,"gass84",257,258,250,231,210,198,193,203,214,224,235,243
"5","Couepia venosa",1089099433,-23.396667,-45.092861,"gass84",243,245,238,219,198,185,179,189,200,212,221,233
"6","Couepia venosa",1090580690,-23.6564,-47.2225,"gass84",203,203,197,178,156,142,137,147,160,172,185,195
"7","Couepia venosa",1089103556,-23.325556,-45.068056,"gass84",192,192,187,168,147,133,127,138,152,162,171,182
"8","Couepia venosa",1089103502,-23.325,-45.068333,"gass84",192,192,187,168,147,133,127,138,152,162,171,182
"10","Couepia venosa",1424242366,-22.532222,-42.346111,"cdround,gass84",258,259,253,236,218,206,203,208,217,227,237,245
"11","Couepia venosa",1090576040,-23.380941,-45.07879,"gass84",249,251,244,225,203,190,184,195,205,217,226,238
"12","Couepia venosa",1090577167,-23.367009,-45.083511,"gass84",203,205,198,180,159,145,139,150,163,174,183,194
"13","Couepia venosa",1123809771,-18.952778,-40.801667,"gass84",252,250,242,227,212,205,208,215,225,233,239,234
"14","Couepia venosa",1090575796,-23.373498,-45.080223,"gass84",211,212,207,188,167,153,147,158,171,181,191,202
"15","Couepia venosa",1086900463,-23.985278,-46.743056,"gass84",201,202,196,176,155,142,135,143,154,165,178,191
"16","Couepia venosa",1424176985,-22.5,-42.25,"gass84",258,259,254,238,220,208,205,209,217,227,237,246
"17","Couepia venosa",1089107206,-23.366667,-44.8,"gass84",252,253,247,227,207,194,188,198,209,220,231,240
"18","Couepia venosa",1089109755,-23.3025,-44.816944,"gass84",227,229,223,204,183,169,163,173,186,197,206,217
"19","Couepia venosa",1929864967,-22.2857503169645,-42.5309212652528,"cdrep",216,212,196,172,156,149,155,166,180,191,199,188
"20","Couepia venosa",1123789996,-19.971389,-40.530278,"gass84",238,237,226,209,196,187,191,197,207,216,225,217
"21","Couepia venosa",1424392474,-22,-42.05,"gass84",222,221,217,193,173,164,161,171,185,194,202,205
"22","Couepia venosa",1424391721,-22.55,-42.5,"gass84",258,259,252,235,216,204,201,206,216,226,236,244
"23","Couepia venosa",1424389208,-23.05,-44.683333,"cdround,gass84",261,259,248,229,210,199,199,208,219,230,243,241
"24","Couepia venosa",1424392660,-22.466667,-42.5,"cdround,gass84",248,248,239,220,201,191,190,196,207,218,228,231
"25","Couepia venosa",1089055414,-22,-42.5,"gass84",240,237,222,201,182,175,179,188,203,216,224,216
"26","Couepia venosa",1261419649,-23.58333,-46,"gass84",204,206,199,180,159,146,139,148,159,171,183,194
"27","Couepia venosa",1424272857,-22.433333,-42.833333,"cdround,gass84",251,252,243,223,203,190,188,195,207,218,229,237
"28","Couepia venosa",1928712681,-23.777841,-46.29971,"",198,198,192,173,152,138,131,139,149,160,173,186
"29","Couepia venosa",1929799097,-23.7138667659755,-46.4100916355625,"cdrep",202,202,196,177,156,142,135,144,154,165,178,191
"30","Couepia venosa",1228274587,-10.8339,-52.8731,"gass84",253,256,257,258,251,239,243,253,260,262,259,258
"31","Couepia venosa",1089106307,-23.366667,-45.084167,"gass84",203,205,198,180,159,145,139,150,163,174,183,194
