"","name","key","decimalLatitude","decimalLongitude","issues","tmean1","tmean2","tmean3","tmean4","tmean5","tmean6","tmean7","tmean8","tmean9","tmean10","tmean11","tmean12"
"1","Sclerolobium pilgerianum",1840912730,-22.395278,-42.735,"cdround,gass84",234,233,221,200,180,171,170,180,192,204,213,215
"2","Sclerolobium pilgerianum",1840913024,-22.566389,-43.389444,"cdround,gass84",239,240,230,211,192,182,177,187,196,205,214,224
"3","Sclerolobium pilgerianum",1840912814,-22.396667,-42.738611,"cdround,gass84",234,233,221,200,180,171,170,180,192,204,213,215
"4","Sclerolobium pilgerianum",2013108534,-22.336389,-44.538333,"gass84",213,212,206,189,165,151,146,161,178,188,196,204
"5","Sclerolobium pilgerianum",1840913002,-22.568056,-43.398611,"cdround,gass84",239,240,230,211,192,182,177,187,196,205,214,224
"6","Sclerolobium pilgerianum",1840912942,-22.335833,-44.538333,"cdround,gass84",213,212,206,189,165,151,146,161,178,188,196,204
"7","Sclerolobium pilgerianum",1423940472,-22.551944,-43.415833,"cdround,gass84",239,240,230,211,192,182,177,187,196,205,214,224
"8","Sclerolobium pilgerianum",1638723668,-22.569444,-43.415833,"gass84",239,240,230,211,192,182,177,187,196,205,214,224
"9","Sclerolobium pilgerianum",1424493965,-22.5725,-43.463056,"cdround,gass84,muluriiv",220,220,209,190,171,163,158,169,180,188,196,204
"10","Sclerolobium pilgerianum",1094926529,-19.15,-40.05,"gass84",264,264,255,242,228,218,218,223,232,242,252,246
"11","Sclerolobium pilgerianum",1094920903,-19.153056,-40.070556,"gass84",264,264,255,242,228,218,218,223,232,242,252,246
"12","Sclerolobium pilgerianum",1424448963,-19.147222,-40.086667,"cdround,gass84",263,264,255,242,228,218,218,222,232,241,250,246
"13","Sclerolobium pilgerianum",1087182027,-20.208611,-43.436111,"gass84",225,226,220,203,182,169,165,180,197,208,214,216
"14","Sclerolobium pilgerianum",1930341216,-22.5469,-43.4678,"gass84",220,220,209,190,171,163,158,169,180,188,196,204
"15","Sclerolobium pilgerianum",1424183661,-22.546944,-43.467778,"cdround,gass84",220,220,209,190,171,163,158,169,180,188,196,204
"16","Sclerolobium pilgerianum",1424153440,-23.286944,-44.695,"cdround,gass84",257,257,249,230,210,197,194,203,214,225,236,243
"17","Sclerolobium pilgerianum",1424153443,-23.268056,-44.670278,"cdround,gass84",257,257,249,230,210,197,194,203,214,225,236,243
"18","Sclerolobium pilgerianum",1424201882,-22.457222,-44.613056,"cdround,gass84",195,195,189,171,148,135,130,144,161,172,179,187
"19","Sclerolobium pilgerianum",1424242623,-22.532222,-42.346111,"cdround,gass84",258,259,253,236,218,206,203,208,217,227,237,245
"20","Sclerolobium pilgerianum",1639432775,-20.766667,-42.033333,"cdround,gass84",238,238,227,209,190,178,179,191,207,218,224,222
"21","Sclerolobium pilgerianum",1089071188,-19.333333,-43.616667,"gass84",221,219,207,189,172,164,172,184,199,208,211,203
"22","Sclerolobium pilgerianum",1930012696,-22.6569559555097,-43.0407567361808,"cdrep",262,263,256,237,216,202,199,205,214,224,236,249
"23","Sclerolobium pilgerianum",1087648039,-22.433333,-42.833333,"gass84",251,252,243,223,203,190,188,195,207,218,229,237
"24","Sclerolobium pilgerianum",1123821710,-22.433333,-42.85,"gass84",225,225,214,192,173,163,160,170,183,194,202,208
"25","Sclerolobium pilgerianum",1929570580,-15.114892,-39.120249,"cdround",254,256,252,242,230,222,228,237,240,244,250,244
"26","Sclerolobium pilgerianum",1144789726,-10.77306,-53.08972,"gass84,rdativ",254,257,260,261,253,241,245,256,262,264,262,259
