"","name","key","decimalLatitude","decimalLongitude","issues","tmean1","tmean2","tmean3","tmean4","tmean5","tmean6","tmean7","tmean8","tmean9","tmean10","tmean11","tmean12"
"1","Maytenus samydaeformis",1094906002,-22.55,-43.266667,"gass84",253,254,245,227,207,195,190,198,207,216,228,240
"2","Maytenus samydaeformis",1587302944,-22.55,-42.316667,"gass84",258,259,253,236,219,207,204,208,216,227,237,245
"3","Maytenus samydaeformis",1098429965,-22.525,-42.28333,"gass84,iddatunl",258,259,253,237,219,208,204,208,217,227,237,245
"4","Maytenus samydaeformis",1228452588,-10.8339,-52.8731,"gass84",253,256,257,258,251,239,243,253,260,262,259,258
"5","Maytenus samydaeformis",1090521113,-22.516667,-43.233333,"gass84",219,220,210,189,171,163,156,167,178,187,193,204
