"","name","key","decimalLatitude","decimalLongitude","issues","tmean1","tmean2","tmean3","tmean4","tmean5","tmean6","tmean7","tmean8","tmean9","tmean10","tmean11","tmean12"
"1","Nectandra nitidula",1676486501,-22.270556,-46.543333,"cdround,gass84",215,218,214,197,176,161,157,175,191,201,209,214
"2","Nectandra nitidula",1563169794,-22.379722,-44.905278,"gass84",172,172,166,148,127,116,110,125,143,152,158,164
"3","Nectandra nitidula",1848249218,-22.379756,-44.905342,"gass84",172,172,166,148,127,116,110,125,143,152,158,164
"4","Nectandra nitidula",1913578461,-23.0744,-44.9597,"gass84",203,203,198,180,157,144,138,150,165,175,183,194
"5","Nectandra nitidula",1303588631,-21.6425,-43.663056,"gass84",227,226,216,198,179,169,168,178,192,204,210,209
"6","Nectandra nitidula",1086916244,-22.526667,-45.266389,"gass84",188,188,181,163,140,127,122,138,156,168,174,180
"7","Nectandra nitidula",1213525547,-16.570556,-57.546222,"gass84",279,268,269,253,228,225,233,250,263,276,276,263
"8","Nectandra nitidula",1587292067,-19.381653,-43.278389,"gass84",234,235,228,210,191,178,177,190,206,219,224,223
"9","Nectandra nitidula",1806876331,-19.158861,-40.075917,"gass84",264,264,255,242,228,218,218,223,232,242,252,246
"10","Nectandra nitidula",1587292053,-19.268267,-43.403725,"gass84",235,234,225,208,188,176,179,192,209,221,225,221
"11","Nectandra nitidula",1847972151,-19.268333,-43.403611,"cdround,gass84",235,234,225,208,188,176,179,192,209,221,225,221
"12","Nectandra nitidula",1944982052,-15.119722,-41.580278,"gass84",224,226,220,209,194,183,182,193,211,221,219,216
"13","Nectandra nitidula",1978387861,-20.490892,-43.672867,"gass84",201,199,190,174,156,147,145,160,176,184,189,187
"14","Nectandra nitidula",1090581157,-23.1864,-46.8842,"gass84",215,215,208,190,167,153,150,161,176,188,201,207
"15","Nectandra nitidula",1086915824,-22.540833,-45.229722,"gass84",182,182,175,157,134,121,116,132,150,161,168,174
"16","Nectandra nitidula",1077244717,-12.766667,-39.516667,"gass84",243,245,243,236,223,212,205,206,215,228,235,240
"17","Nectandra nitidula",1094926260,-22.658333,-47.914167,"gass84",238,237,234,217,190,172,171,186,201,216,226,234
"18","Nectandra nitidula",1090699389,-22.658294,-47.914153,"gass84",238,237,234,217,190,172,171,186,201,216,226,234
"19","Nectandra nitidula",1086915855,-22.526111,-45.266389,"gass84",188,188,181,163,140,127,122,138,156,168,174,180
"20","Nectandra nitidula",1087385593,-23.126153,-45.785156,"gass84",224,225,218,200,177,164,158,170,185,197,206,216
"21","Nectandra nitidula",1090629353,-19.341944,-43.625833,"gass84",231,229,219,200,182,174,183,194,209,218,222,214
"22","Nectandra nitidula",1090698647,-20.092833,-43.499083,"gass84",191,188,180,164,146,138,137,152,167,175,180,177
"23","Nectandra nitidula",1090698646,-20.270972,-43.403556,"gass84",226,228,221,204,184,170,166,181,198,209,215,217
"24","Nectandra nitidula",1257978667,-22.257972,-46.133139,"cdround,gass84",217,218,212,196,172,160,158,176,192,203,210,212
"25","Nectandra nitidula",1086915311,-20.092778,-43.499167,"gass84",191,188,180,164,146,138,137,152,167,175,180,177
"26","Nectandra nitidula",1086915303,-22.258056,-46.133056,"gass84",217,218,212,196,172,160,158,176,192,203,210,212
"27","Nectandra nitidula",1086915317,-20.270833,-43.403611,"gass84",226,228,221,204,184,170,166,181,198,209,215,217
"28","Nectandra nitidula",1090697624,-20.969028,-47.470972,"gass84",216,216,211,199,181,170,174,192,205,211,212,211
"29","Nectandra nitidula",2236308215,-20.969167,-47.471111,"cdround,gass84",216,216,211,199,181,170,174,192,205,211,212,211
"30","Nectandra nitidula",1077505148,-27.15,-49.685647,"gass84",219,217,202,175,148,134,133,145,157,176,195,202
"31","Nectandra nitidula",1316169910,-22.856667,-47.091111,"gass84",225,224,220,200,175,161,161,170,188,201,218,220
"32","Nectandra nitidula",1090142304,-21.550056,-44.277128,"gass84",217,216,208,190,171,159,158,172,187,198,204,204
