"","name","key","decimalLatitude","decimalLongitude","issues","tmean1","tmean2","tmean3","tmean4","tmean5","tmean6","tmean7","tmean8","tmean9","tmean10","tmean11","tmean12"
"1","Myrcia anceps",1837800752,-21.931667,-41.928333,"cdround,gass84",218,217,216,191,172,161,157,167,180,188,197,203
"2","Myrcia anceps",1837800790,-21.929722,-41.925,"cdround,gass84",218,217,216,191,172,161,157,167,180,188,197,203
"3","Myrcia anceps",1094915882,-9.358611,-64.658889,"gass84",261,256,265,260,253,253,258,264,271,271,263,260
"4","Myrcia anceps",1587326324,-9.321111,-64.677777,"cdround,gass84",262,258,265,261,253,253,259,264,271,271,264,260
"5","Myrcia anceps",1213618476,-20.081667,-43.506389,"gass84",208,207,200,184,165,154,152,167,183,192,198,197
"6","Myrcia anceps",1123813254,-20.058611,-40.470639,"gass84",264,264,253,237,223,214,216,221,230,240,250,244
"7","Myrcia anceps",1424242495,-22.532222,-42.346111,"cdround,gass84",258,259,253,236,218,206,203,208,217,227,237,245
"8","Myrcia anceps",1123810089,-20.103333,-40.441944,"gass84",268,267,256,240,227,217,219,224,233,243,253,247
"9","Myrcia anceps",1424301116,-22.525833,-42.347778,"cdround,gass84",258,259,253,236,218,206,203,208,217,227,237,245
"10","Myrcia anceps",1123811364,-20.129167,-40.554167,"gass84",237,236,224,207,193,186,190,196,206,215,224,215
"11","Myrcia anceps",912287094,-21.43,-42.96,"gass84",248,246,235,214,193,182,185,196,212,227,233,230
"12","Myrcia anceps",1123801707,-19.9075,-40.553056,"gass84",226,225,213,196,183,175,180,186,197,205,213,204
"13","Myrcia anceps",1265912399,-20.289722,-40.5175,"gass84",244,242,230,213,199,192,196,202,211,220,230,220
"14","Myrcia anceps",1424076143,-22.579722,-42.994444,"cdround,gass84",260,262,254,236,215,200,197,204,213,224,236,248
"15","Myrcia anceps",1424118692,-22.376389,-42.292778,"cdround,gass84",225,222,210,188,171,163,166,176,188,198,207,202
"16","Myrcia anceps",1090867751,-20.270833,-40.777222,"gass84",234,233,220,201,188,181,186,193,204,213,221,211
"17","Myrcia anceps",1265912237,-19.816667,-43.666667,"gass84",208,205,196,179,161,154,158,172,187,195,198,192
"18","Myrcia anceps",1123793644,-20.363333,-40.659167,"gass84",246,245,232,214,201,193,198,204,214,223,233,223
"19","Myrcia anceps",1265912935,-22.5,-42.25,"gass84",258,259,254,238,220,208,205,209,217,227,237,246
"20","Myrcia anceps",1930626164,-20.3721180444895,-41.2439323195849,"cdrep",231,229,214,196,181,174,181,191,204,213,220,208
"21","Myrcia anceps",1897660858,-14.25,-54.333333,"cdround,cuiv",243,244,248,241,224,211,215,228,245,248,244,245
"22","Myrcia anceps",1424362528,-22.583333,-43.033333,"cdround,gass84",259,260,252,234,213,199,195,202,212,222,235,246
"23","Myrcia anceps",1929416895,-19.83305,-43.726389,"cdround",221,220,211,193,175,166,171,185,200,209,212,207
"24","Myrcia anceps",1213624944,-19.82,-43.96,"gass84",235,235,223,205,189,182,193,206,219,226,227,220
"25","Myrcia anceps",1228234653,-22,-42.5,"gass84",240,237,222,201,182,175,179,188,203,216,224,216
"26","Myrcia anceps",1929941709,-18.9729787114355,-49.4655833228074,"cdrep",249,253,247,233,218,210,218,236,250,253,250,245
"27","Myrcia anceps",912233625,-22.7,-43.15,"gass84",259,259,252,235,213,199,195,202,211,220,234,247
"28","Myrcia anceps",1228286588,-10.8339,-52.8731,"gass84",253,256,257,258,251,239,243,253,260,262,259,258
"29","Myrcia anceps",1099073746,-10,-55,"rdativ",245,248,258,257,253,242,250,258,263,262,258,254
"30","Myrcia anceps",912287113,-22.62,-42.38,"gass84",258,259,253,236,218,207,204,208,216,227,237,245
"31","Myrcia anceps",912233599,-22.37,-41.77,"gass84,rdativ",255,256,252,237,219,208,203,206,213,224,233,245
"32","Myrcia anceps",912233608,-22.9,-43.05,"gass84,rdativ",258,259,252,233,215,205,199,205,211,222,232,243
