"","name","key","decimalLatitude","decimalLongitude","issues","tmean1","tmean2","tmean3","tmean4","tmean5","tmean6","tmean7","tmean8","tmean9","tmean10","tmean11","tmean12"
"1","Lacistema pubescens",1944984329,-23.2975,-44.555,"gass84,preswcd",251,253,246,227,206,193,188,198,208,219,230,239
"2","Lacistema pubescens",1946020423,-21.733333,-43.366667,"gass84",232,227,214,198,178,171,173,180,197,210,215,209
"3","Lacistema pubescens",1931250478,-3.93547,-54.87381,"gass84",254,252,255,258,258,255,256,262,267,268,266,260
"4","Lacistema pubescens",1676572623,-1.518283,-48.037025,"gass84",264,262,260,267,267,265,267,268,269,271,271,269
"5","Lacistema pubescens",1853943079,-19.009167,-43.396389,"gass84",228,226,216,198,180,168,172,186,203,214,217,211
"6","Lacistema pubescens",1853943173,-20.430833,-43.370556,"gass84",225,226,218,201,181,167,163,178,194,206,213,214
"7","Lacistema pubescens",1801352765,-2.701944,-48.25,"gass84",264,265,264,268,268,266,268,269,271,271,271,269
"8","Lacistema pubescens",1801097056,-18.909722,-43.423611,"gass84",233,230,220,203,184,172,177,191,208,219,223,216
"9","Lacistema pubescens",1676572751,-3.529167,-49.55675,"gass84",267,269,271,274,273,272,274,277,279,277,275,272
"10","Lacistema pubescens",1638350020,-1.226389,-48.296111,"gass84",265,264,263,270,269,268,269,271,272,274,273,270
"11","Lacistema pubescens",1426660772,-1.226519,-48.295997,"gass84",265,264,263,270,269,268,269,271,272,274,273,270
"12","Lacistema pubescens",1438022821,-20.256389,-43.837778,"gass84",212,210,202,184,166,157,157,175,190,198,202,198
"13","Lacistema pubescens",1423942682,-22.721389,-42.586111,"cdround,gass84",256,258,251,233,215,203,200,205,212,223,233,242
"14","Lacistema pubescens",1848247252,-22.59,-42.21,"gass84",257,259,254,238,220,209,206,209,216,227,236,245
"15","Lacistema pubescens",1585208972,-1.17375,-48.418972,"gass84",265,265,264,270,270,269,270,273,274,275,273,270
"16","Lacistema pubescens",1913566376,-18.892889,-43.405227,"gass84",236,233,225,207,188,175,179,192,210,222,226,220
"17","Lacistema pubescens",1423897381,-21.526389,-41.8875,"cdround,gass84",234,234,228,207,187,175,171,183,197,207,216,220
"18","Lacistema pubescens",1930012170,-13.7455,-39.564667,"gass84",244,246,245,237,224,214,210,215,223,230,237,239
"19","Lacistema pubescens",1587292001,-18.976,-43.362717,"gass84",236,234,226,209,189,175,177,191,209,222,225,222
"20","Lacistema pubescens",1848717817,-18.976111,-43.362778,"cdround,gass84",236,234,226,209,189,175,177,191,209,222,225,222
"21","Lacistema pubescens",1226944140,-22.680008,-42.480003,"gass84",257,259,253,235,217,206,202,207,214,225,235,244
"22","Lacistema pubescens",1226944258,-22.410006,-42.390006,"gass84",213,211,197,174,157,150,154,164,177,187,195,189
"23","Lacistema pubescens",1424456048,-1.729444,-48.874167,"cdround,gass84",265,264,266,271,270,268,271,272,272,273,271,269
"24","Lacistema pubescens",1090893392,-2.946111,-48.954167,"gass84",265,266,267,271,269,268,271,272,273,273,271,269
"25","Lacistema pubescens",1424465948,-22.354167,-44.308889,"cdround,gass84",235,235,228,210,188,172,168,182,197,208,217,224
"26","Lacistema pubescens",1676475283,-21.0153,-50.5338,"gass84",254,256,249,232,204,190,190,209,226,238,248,251
"27","Lacistema pubescens",1095633878,-21.031406,-50.893944,"gass84",248,250,243,227,197,184,183,200,218,231,242,246
"28","Lacistema pubescens",1424426845,-22.008056,-41.9175,"cdround,gass84",238,238,237,215,194,182,177,186,199,208,217,226
"29","Lacistema pubescens",1090894089,-2.400278,-44.4,"gass84",266,264,266,267,268,266,269,274,276,278,273,270
"30","Lacistema pubescens",1087654148,-20.201667,-43.436111,"gass84",226,227,221,204,183,170,166,181,198,209,215,216
"31","Lacistema pubescens",1087657729,-2.596389,-44.272778,"gass84",265,264,266,267,268,265,269,273,276,278,272,270
"32","Lacistema pubescens",1077420615,-1.397222,-48.398889,"cdround,gass84",264,263,262,269,268,267,269,269,270,272,271,268
"33","Lacistema pubescens",1077420387,-1.433611,-48.446389,"cdround,gass84",264,264,263,270,269,267,269,270,271,272,271,268
"34","Lacistema pubescens",1077484044,-18.904444,-43.433056,"gass84",233,230,220,203,184,172,177,191,208,219,223,216
"35","Lacistema pubescens",1424456060,-1.450278,-48.446389,"cdround,gass84",264,264,263,270,269,267,269,270,271,272,271,268
"36","Lacistema pubescens",1090585427,-0.965,-47.393611,"cdround,gass84",263,259,253,262,261,261,261,263,266,269,270,269
"37","Lacistema pubescens",1424371155,-22.423611,-42.745555,"cdround,gass84",254,255,245,226,206,194,191,199,210,222,232,239
"38","Lacistema pubescens",1928437932,-22.406667,-42.745555,"gass84",234,233,221,200,180,171,170,180,192,204,213,215
"39","Lacistema pubescens",1930321465,-22.5088534048423,-43.1787660708117,"cdrep",217,218,207,187,169,161,154,164,175,184,190,202
"40","Lacistema pubescens",1090585211,-0.915167,-47.393556,"cdround,gass84",263,258,254,262,262,262,261,264,267,270,271,269
"41","Lacistema pubescens",1087645270,-19.891611,-43.915972,"gass84",231,229,222,205,186,175,180,196,211,220,222,218
"42","Lacistema pubescens",1424405356,-20.116111,-44.224444,"cdround,gass84",234,232,221,201,183,176,184,200,215,224,225,217
"43","Lacistema pubescens",1424249840,-23.330556,-44.639444,"cdround,gass84",261,262,253,234,215,202,198,207,217,228,239,247
"44","Lacistema pubescens",1087647259,-19.98,-44.110833,"gass84",233,230,219,199,181,176,185,202,216,224,226,216
"45","Lacistema pubescens",1424477598,-22.670278,-42.793333,"cdround,gass84",262,264,256,238,218,205,202,207,215,226,238,248
"46","Lacistema pubescens",1087182448,-20.197222,-43.432222,"gass84",226,227,221,204,183,170,166,181,198,209,215,216
"47","Lacistema pubescens",1042713470,-1.5,-48.47,"gass84,gdativ",264,264,264,270,269,268,269,270,270,271,271,268
"49","Lacistema pubescens",1424301166,-22.515833,-42.375278,"cdround,gass84",259,261,254,237,219,207,204,208,217,228,238,246
"50","Lacistema pubescens",1676472789,-19.398306,-43.402556,"gass84",233,232,223,206,187,175,177,189,206,218,222,219
"51","Lacistema pubescens",1424240968,-22.423333,-42.053889,"cdround,gass84",252,253,248,232,214,203,199,203,212,222,231,240
"52","Lacistema pubescens",1094858769,-20.023056,-43.501667,"gass84",224,224,218,201,181,168,166,181,198,209,213,213
"53","Lacistema pubescens",1424310142,-20.5225,-43.020556,"cdround,gass84",240,242,231,212,192,179,177,191,207,220,227,226
"54","Lacistema pubescens",1090580921,-20.3778,-43.4161,"gass84",214,215,208,192,172,159,154,169,185,196,202,205
"55","Lacistema pubescens",1087650339,-19.396361,-43.402056,"gass84",233,232,223,206,187,175,177,189,206,218,222,219
"56","Lacistema pubescens",1424242456,-22.532222,-42.346111,"cdround,gass84",258,259,253,236,218,206,203,208,217,227,237,245
"57","Lacistema pubescens",1424151497,-22.146389,-43.381944,"cdround,gass84",241,244,235,215,194,181,176,188,200,212,223,228
"58","Lacistema pubescens",1424156435,-22.413333,-42.738055,"cdround,gass84",234,233,221,200,180,171,170,180,192,204,213,215
"59","Lacistema pubescens",1424156466,-19.057778,-43.4175,"cdround,gass84",233,230,220,202,183,172,178,191,208,219,223,215
"60","Lacistema pubescens",1424300216,-22.525833,-42.347778,"cdround,gass84",258,259,253,236,218,206,203,208,217,227,237,245
"61","Lacistema pubescens",1587291368,-17.215014,-39.254167,"gass84",263,264,257,247,236,225,224,228,242,243,253,252
"62","Lacistema pubescens",1928436798,-22.5258,-42.3478,"gass84",258,259,253,236,218,206,203,208,217,227,237,245
"63","Lacistema pubescens",1424144651,-20.102778,-43.405,"cdround,gass84",228,228,221,205,185,171,168,182,199,210,216,218
"64","Lacistema pubescens",1090575388,-20.102972,-43.405194,"gass84",228,228,221,205,185,171,168,182,199,210,216,218
"65","Lacistema pubescens",1087180606,-18.947222,-42.524167,"gass84,txmatfuz",235,233,226,210,191,178,178,188,202,216,223,222
"66","Lacistema pubescens",1087180620,-19.626944,-43.264444,"gass84",218,218,210,192,173,162,160,173,189,201,207,206
"67","Lacistema pubescens",1257594641,5.05,-52.916667,"cdround,gass84",249,250,255,257,256,254,254,260,262,262,259,253
"68","Lacistema pubescens",1456005917,5.05,-52.91,"gass84",251,251,255,258,256,254,254,260,263,263,260,253
"69","Lacistema pubescens",1144710180,5.05,-52.91667,"gass84",249,250,255,257,256,254,254,260,262,262,259,253
"70","Lacistema pubescens",1928759121,-14.4997,-39.115,"gass84",248,248,246,239,228,219,219,230,234,234,239,240
"71","Lacistema pubescens",1090502614,-14.499722,-39.115,"gass84",248,248,246,239,228,219,219,230,234,234,239,240
"72","Lacistema pubescens",1424234711,-22.593333,-42.476667,"cdround,gass84",254,255,248,230,212,201,198,203,212,223,233,240
"73","Lacistema pubescens",1090572799,-22.180833,-43.538889,"gass84",235,236,227,208,188,176,171,183,195,204,214,220
"74","Lacistema pubescens",1424168808,-23.2425,-44.722222,"cdround,gass84",261,260,250,231,212,200,197,207,217,228,240,244
"75","Lacistema pubescens",1928075910,-21.94819,-41.99167,"gass84",222,222,222,196,176,165,160,171,184,193,202,208
"76","Lacistema pubescens",1090572764,-23.2178,-44.7131,"gass84",261,260,250,231,212,200,197,207,217,228,240,244
"77","Lacistema pubescens",1094797318,-19.683333,-42.633333,"gass84",255,258,249,235,215,200,198,210,224,238,243,245
"78","Lacistema pubescens",1423950612,-22.448055,-42.972222,"cdround,gass84",211,212,200,178,159,151,146,157,170,181,187,194
"79","Lacistema pubescens",1424225332,-20.103611,-43.419444,"cdround,gass84,preswcd",186,184,175,158,141,133,134,148,163,170,176,172
"80","Lacistema pubescens",1424200665,-1.448889,-48.642222,"cdround,gass84,rdatm",264,264,265,270,269,268,270,271,271,273,271,269
"81","Lacistema pubescens",1930075823,-22.5403,-43.4686,"gass84",228,228,218,199,180,171,166,177,188,196,206,212
"82","Lacistema pubescens",1423950579,-22.540278,-43.468611,"cdround,gass84",228,228,218,199,180,171,166,177,188,196,206,212
"83","Lacistema pubescens",1123827186,-22.333333,-43.25,"gass84",231,231,221,201,181,171,166,176,189,199,208,215
"84","Lacistema pubescens",1424410532,-22.55,-43.266667,"cdround,gass84",253,254,245,227,207,195,190,198,207,216,228,240
"85","Lacistema pubescens",1424244838,-8.549167,-46.618611,"cdround,gass84",246,249,250,250,247,245,252,262,263,257,251,250
"86","Lacistema pubescens",1272057785,-8.549167,-46.636111,"gass84",246,249,251,251,248,246,253,262,263,257,251,250
"87","Lacistema pubescens",1090570545,-23.318333,-44.724722,"cdround,gass84",250,250,244,224,204,191,185,195,207,218,228,237
"88","Lacistema pubescens",1094753949,-19.731389,-41.817222,"gass84",250,250,238,221,203,192,197,210,224,235,241,233
"89","Lacistema pubescens",2005821604,-12.5884,-55.1457,"gass84",248,250,257,248,236,230,240,246,261,257,252,252
